"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     6";
"Trial ID";"5";
"Arena name";"Peltier 6-2";
"Arena ID";"10";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"B";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:23:00.108";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0005a0010o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     6.mpg";
"Video start time";"04/22/2017 15:23:00.108";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:23:00.108";
"Sof file";"";
"Missed samples";"0.4 %";
"Subject not found";"0.4 %";
"User-defined Independent Variable";
"Peltier";"6";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"B";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;89.0169;13.6565;3.0902;5.82724;0.39465;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;88.8121;13.3749;3.35508;1.14779;0.421624;"-";1;0;0;
0.200;0.200;88.4893;13.1048;3.44337;1.50096;0.34093;1;1;0;0;
0.240;0.240;88.2429;12.799;3.26679;1.23608;0.410194;1;1;0;0;
0.280;0.280;87.9662;12.4649;3.26679;1.41266;0.452307;1;1;0;0;
0.320;0.320;87.656;12.0341;3.70824;1.85412;0.403393;1;1;0;0;
0.360;0.360;87.4426;11.6227;3.17849;1.58925;0.286035;1;1;0;0;
0.400;0.400;87.1424;11.1922;3.26679;1.85412;0.48759;1;1;0;0;
0.440;0.440;86.8458;10.7881;3.0902;1.58925;0.345927;1;1;0;0;
0.480;0.480;86.577;10.4547;2.91362;1.41266;0.450641;1;1;0;0;
0.520;0.520;86.182;9.94324;3.53166;2.0307;0.534458;1;1;0;0;
0.560;0.560;85.9703;9.55703;3.26679;1.50096;0.308632;1;1;0;0;
0.600;0.600;85.6811;8.96672;3.0902;2.119;0.414432;1;1;0;0;
