"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     7";
"Trial ID";"6";
"Arena name";"Peltier 7-1";
"Arena ID";"13";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:35:45.328";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0006a0013o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     7.mpg";
"Video start time";"04/22/2017 15:35:45.328";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:35:45.328";
"Sof file";"";
"Missed samples";"0.2 %";
"Subject not found";"0.2 %";
"User-defined Independent Variable";
"Peltier";"7";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;-118.69;-85.9463;2.91595;3.88794;0.486568;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;-118.754;-85.9075;3.00431;0.265087;0.457341;"-";1;0;0;
0.200;0.200;-118.95;-86.0012;3.35776;0.883622;0.632795;1;1;0;0;
0.240;0.240;-119.181;-86.1144;3.44613;0.79526;0.604261;1;1;0;0;
0.280;0.280;-119.432;-86.2534;3.2694;1.06035;0.473085;1;1;0;0;
0.320;0.320;-119.483;-86.1805;3.2694;0.353449;0.500177;1;1;0;0;
0.360;0.360;-119.595;-86.0907;3.2694;0.883622;0.561045;1;1;0;0;
0.400;0.400;-119.746;-86.0872;3.62285;0.530173;0.623739;1;1;0;0;
0.440;0.440;-119.749;-85.9328;2.73923;1.23707;0.416852;1;1;0;0;
0.480;0.480;-119.764;-85.8323;3.53449;0.971984;0.572181;1;1;0;0;
0.520;0.520;-119.742;-85.6545;3.44613;0.971984;0.613961;1;1;0;0;
0.560;0.560;-119.944;-85.6102;3.35776;0.618535;0.508367;1;1;0;0;
0.600;0.600;-120.159;-85.4876;3.53449;1.23707;0.34018;1;1;0;0;
0.640;0.640;-120.176;-85.3301;3.2694;0.79526;0.505218;1;1;0;0;
0.680;0.680;-119.961;-85.3036;3.2694;0.706898;0.501299;1;1;0;0;
0.720;0.720;-119.944;-85.1644;3.53449;0.618535;0.347105;1;1;0;0;
0.760;0.760;-119.939;-84.9925;3.79957;0.79526;0.421394;1;1;0;0;
0.800;0.800;-119.96;-84.8558;3.44613;0.706898;0.466236;1;1;0;0;
0.840;0.840;-120.065;-84.837;3.18104;0.265087;0.373949;1;1;0;0;
0.880;0.880;-120.075;-84.6647;3.53449;0.706898;0.316898;1;1;0;0;
0.920;0.920;-120.107;-84.4068;3.35776;1.06035;0.41079;1;1;0;0;
0.960;0.960;-120.241;-84.124;3.18104;1.06035;0.332908;1;1;0;0;
1.000;1.000;-120.262;-83.8479;3.44613;0.971984;0.240663;1;1;0;0;
1.040;1.040;-120.092;-83.8267;3.44613;0.706898;0.27977;1;1;0;0;
1.080;1.080;-119.966;-83.6628;3.35776;0.971984;0.399175;1;1;0;0;
1.120;1.120;-119.956;-83.5145;3.2694;0.618535;0.269964;1;1;0;0;
1.160;1.160;-119.949;-83.3962;3.62285;0.353449;0.34797;1;1;0;0;
1.200;1.200;-119.986;-83.3397;3.53449;0.265087;0.327288;1;1;0;0;
1.240;1.240;-120.1;-83.1311;3.18104;0.883622;0.510493;1;1;0;0;
1.280;1.280;-120.22;-83.0682;3.44613;0.618535;0.395013;1;1;0;0;
1.320;1.320;-120.241;-82.9349;3.35776;0.441811;0.297081;1;1;0;0;
1.360;1.360;-120.241;-82.9349;3.35776;0;0.297081;0;1;0;0;
1.400;1.400;-120.241;-82.9349;3.35776;0;0.297081;0;1;0;0;
1.440;1.440;-120.196;-82.7319;3.62285;0.79526;0.358328;0;1;0;0;
1.480;1.480;-120.174;-82.725;3.53449;0.0883622;0.402853;0;1;0;0;
1.520;1.520;-120.01;-82.5848;3.62285;1.14871;0.343389;0;1;0;0;
1.560;1.560;-120.01;-82.4882;3.53449;0.441811;0.353333;0;1;0;0;
1.600;1.600;-119.944;-82.1918;3.71121;1.06035;0.351746;0;1;0;0;
1.640;1.640;-119.944;-81.8945;3.71121;1.06035;0.351746;0;1;0;0;
1.680;1.680;-119.944;-81.5973;3.71121;1.06035;0.351746;0;1;0;0;
1.720;1.720;-119.998;-81.2696;3.71121;1.23707;0.324824;1;1;0;0;
1.760;1.760;-120.101;-80.985;3.2694;1.14871;0.501299;1;1;0;0;
1.800;1.800;-120.111;-80.7055;3.79957;1.4138;0.285589;1;1;0;0;
1.840;1.840;-120.221;-80.3934;3.62285;1.23707;0.391092;1;1;0;0;
1.880;1.880;-120.215;-80.3772;3.53449;0.0883622;0.392496;1;1;0;0;
1.920;1.920;-120.101;-80.3905;3.2694;0.441811;0.501299;1;1;0;0;
1.960;1.960;-120.019;-80.1556;3.62285;1.06035;0.421284;1;1;0;0;
2.000;2.000;-120.119;-79.8244;3.18104;1.14871;0.515148;1;1;0;0;
2.040;2.040;-120.204;-79.5016;3.62285;1.14871;0.412796;1;1;0;0;
2.080;2.080;-120.26;-79.3678;3.18104;0.618535;0.283395;1;1;0;0;
2.120;2.120;-120.267;-79.2503;3.53449;0.353449;0.392496;1;1;0;0;
2.160;2.160;-120.278;-79.2774;3.44613;0.0883622;0.40359;1;1;0;0;
2.200;2.200;-120.234;-79.3529;3.2694;0.530173;0.312786;1;1;0;0;
2.240;2.240;-120.133;-79.3986;3.44613;0.353449;0.283829;0;1;0;0;
2.280;2.280;-120.004;-79.285;3.35776;0.79526;0.455669;1;1;0;0;
2.320;2.320;-120.109;-79.159;3.79957;0.79526;0.279892;1;1;0;0;
2.360;2.360;-120.186;-78.8836;3.71121;1.14871;0.376954;1;1;0;0;
2.400;2.400;-120.1;-78.6723;3.18104;1.06035;0.510493;1;1;0;0;
2.440;2.440;-120.184;-78.4574;3.2694;0.79526;0.274594;0;1;0;0;
2.480;2.480;-120.176;-78.4418;3.18104;0.0883622;0.286035;0;1;0;0;
2.520;2.520;-119.949;-78.3429;3.62285;1.14871;0.34797;0;1;0;0;
2.560;2.560;-119.897;-78.2813;3.53449;0.441811;0.340897;1;1;0;0;
2.600;2.600;-119.903;-78.0404;3.53449;0.883622;0.383845;1;1;0;0;
2.640;2.640;-119.924;-78.0153;3.62285;0.0883622;0.391092;1;1;0;0;
2.680;2.680;-119.921;-77.8595;3.2694;0.530173;0.199817;1;1;0;0;
2.720;2.720;-119.813;-77.7329;3.35776;0.79526;0.503818;1;1;0;0;
2.760;2.760;-119.617;-77.6217;3.18104;1.23707;0.19668;1;1;0;0;
2.800;2.800;-119.222;-77.6853;3.18104;1.94397;0.514359;1;1;0;0;
2.840;2.840;-119.2;-77.7329;2.47414;0.706898;0.245557;1;1;0;0;
2.880;2.880;-119.028;-77.8934;3.09268;1.14871;0.39465;1;1;0;0;
2.920;2.920;-119.066;-78.1348;2.82759;0.79526;0.512379;1;1;0;0;
2.960;2.960;-119.146;-78.3664;2.91595;0.971984;0.450641;1;1;0;0;
3.000;3.000;-119.185;-78.4611;3.18104;0.265087;0.472066;1;1;0;0;
3.040;3.040;-119.214;-78.4605;3.09268;0.0883622;0.500655;1;1;0;0;
3.080;3.080;-119.183;-78.5065;3.18104;0.441811;0.477062;1;1;0;0;
3.120;3.120;-119.349;-78.7733;3.00431;0.883622;0.457341;1;1;0;0;
3.160;3.160;-119.487;-78.7902;3.00431;0.706898;0.384809;1;1;0;0;
3.200;3.200;-119.672;-78.8808;3.53449;1.06035;0.32386;1;1;0;0;
3.240;3.240;-119.795;-78.8871;3.35776;0.530173;0.501368;1;1;0;0;
3.280;3.280;-119.899;-78.8675;3.62285;0.441811;0.358328;0;1;0;0;
3.320;3.320;-119.784;-79.0537;3.00431;0.79526;0.384809;0;1;0;0;
3.360;3.360;-119.672;-79.1781;3.53449;0.706898;0.32386;0;1;0;0;
3.400;3.400;-119.64;-79.3529;3.2694;0.79526;0.312786;0;1;0;0;
3.440;3.440;-119.652;-79.6346;3.18104;0.971984;0.281033;1;1;0;0;
3.480;3.480;-119.646;-79.6651;3.71121;0.706898;0.403393;1;1;0;0;
3.520;3.520;-119.498;-79.8137;3.18104;0.706898;0.332908;1;1;0;0;
3.560;3.560;-119.344;-79.9384;3.62285;0.618535;0.445014;1;1;0;0;
3.600;3.600;-119.318;-80.1017;3.53449;0.79526;0.414787;1;1;0;0;
3.640;3.640;-119.173;-80.2393;2.82759;0.706898;0.423227;1;1;0;0;
3.680;3.680;-119.02;-80.3425;3.35776;0.530173;0.488448;1;1;0;0;
3.720;3.720;-118.986;-80.3479;3.35776;0.176724;0.455669;1;1;0;0;
3.760;3.760;-118.869;-80.3434;3.18104;0.353449;0.286035;1;1;0;0;
3.800;3.800;-118.826;-80.3162;3.09268;0.265087;0.393676;0;1;0;0;
3.840;3.840;-118.829;-80.3431;3.18104;0.0883622;0.342714;0;1;0;0;
3.880;3.880;-118.774;-80.2636;3.09268;0.618535;0.543122;0;1;0;0;
3.920;3.920;-118.826;-80.3162;3.09268;0.530173;0.393676;0;1;0;0;
3.960;3.960;-118.876;-80.2393;2.82759;0.265087;0.423227;0;1;0;0;
4.000;4.000;-118.876;-80.2393;2.82759;0;0.423227;0;1;0;0;
4.040;4.040;-118.876;-80.2393;2.82759;0;0.423227;0;1;0;0;
4.080;4.080;-118.903;-80.2596;2.91595;0.0883622;0.390896;0;1;0;0;
4.120;4.120;-118.774;-80.2636;3.09268;0.353449;0.543122;0;1;0;0;
4.160;4.160;-118.793;-80.2828;3.00431;0.0883622;0.586641;0;1;0;0;
4.200;4.200;-118.903;-80.2596;2.73923;0.265087;0.469176;0;1;0;0;
4.240;4.240;-118.903;-80.2596;2.73923;0;0.469176;0;1;0;0;
4.280;4.280;-118.903;-80.2596;2.73923;0;0.469176;0;1;0;0;
4.320;4.320;-118.848;-80.3376;3.00431;0.265087;0.463706;0;1;0;0;
4.360;4.360;-118.774;-80.2636;3.09268;0.618535;0.543122;0;1;0;0;
4.400;4.400;-118.83;-80.335;2.91595;0.706898;0.472623;0;1;0;0;
4.440;4.440;-118.903;-80.2596;2.73923;0.353449;0.469176;0;1;0;0;
4.480;4.480;-118.844;-80.329;3.09268;0.353449;0.317372;0;1;0;0;
4.520;4.520;-118.793;-80.2828;3.00431;0.618535;0.586641;0;1;0;0;
4.560;4.560;-118.75;-80.3552;3.44613;0.441811;0.461959;0;1;0;0;
4.600;4.600;-118.729;-80.3656;3.44613;0.176724;0.437782;0;1;0;0;
4.640;4.640;-118.876;-80.2393;2.82759;0.618535;0.423227;0;1;0;0;
4.680;4.680;-118.826;-80.3162;3.09268;0.265087;0.393676;0;1;0;0;
4.720;4.720;-118.851;-80.3648;3.09268;0.176724;0.414432;0;1;0;0;
4.760;4.760;-118.793;-80.2828;3.00431;0.618535;0.586641;0;1;0;0;
4.800;4.800;-118.844;-80.329;3.09268;0.618535;0.317372;0;1;0;0;
4.840;4.840;-118.736;-80.3354;3.18104;0.618535;0.488762;0;1;0;0;
4.880;4.880;-118.745;-80.3857;3.35776;0.353449;0.490236;0;1;0;0;
4.920;4.920;-118.707;-80.3375;3.44613;0.265087;0.479829;0;1;0;0;
4.960;4.960;-118.884;-80.2548;2.65087;0.79526;0.470334;0;1;0;0;
5.000;5.000;-118.876;-80.2393;2.82759;0.176724;0.423227;0;1;0;0;
5.040;5.040;-118.83;-80.335;2.91595;0.441811;0.472623;0;1;0;0;
5.080;5.080;-118.903;-80.2596;2.73923;0.353449;0.469176;0;1;0;0;
5.120;5.120;-118.848;-80.3376;3.00431;0.265087;0.463706;0;1;0;0;
5.160;5.160;-118.754;-80.2596;3.00431;0.706898;0.539485;0;1;0;0;
5.200;5.200;-118.826;-80.3162;3.09268;0.618535;0.393676;0;1;0;0;
5.240;5.240;-118.774;-80.2636;3.09268;0.530173;0.543122;0;1;0;0;
5.280;5.280;-118.75;-80.3552;3.44613;0.353449;0.461959;0;1;0;0;
5.320;5.320;-118.826;-80.3162;3.09268;0.353449;0.393676;0;1;0;0;
5.360;5.360;-118.721;-80.3569;3.35776;0.441811;0.526846;0;1;0;0;
5.400;5.400;-118.903;-80.2596;2.73923;0.618535;0.469176;0;1;0;0;
5.440;5.440;-118.739;-80.3624;3.2694;0.530173;0.540622;0;1;0;0;
5.480;5.480;-118.774;-80.2636;3.09268;0.353449;0.543122;0;1;0;0;
5.520;5.520;-118.834;-80.3983;3.62285;0.883622;0.52855;0;1;0;0;
5.560;5.560;-118.726;-80.5207;3.2694;0.883622;0.512387;0;1;0;0;
